Sr. No,Sila Allias Code,16,153,93,98,205,215,216,57,108,217,190,149
55,HKM55,155,155,,,,,,,,,,
56,HKM56,,495,,,,,,,,,,
57,HKM57,775,775,,,,,,,,,,
59,HKM59,42.67,42,36,,,,,,,,,
60,HKM60,42.67,42,36,,,,,,,,,
61,HKM61,63.67,64,62,,,,,,,,,
62,HKM62,63.67,64,62,,,,,,,,,
63,HKM63,123.33,125,120,,,,,,,,,
64,HKM64,150,135,150,,,,,,,,,
65,HKM65,18.67,18,20,,,,,,,,,
66,HKM66,11.67,12,11,,,,,,,,,
67,HKM67,11.67,12,11,,,,,,,,,
68,HKM68,11.67,12,11,,,,,,,,,
69,HKM69,15,,,,,,,,,,,
70,HKM70,22,,,,,,,,,,,
71,HKM71,18,,,,,,,,,,,
72,HKM72,10.5,10,9.5,,,,,,,,,
73,HKM73,11.5,11.5,11,,,,,,,,,
74,HKM74,14,18,13,,,,,,,,,
75,HKM75,14,18,13,,,,,,,,,
76,HKM76,14,18,,,,,,,,,,
77,HKM77,90,150,75,,,,,,,,,
78,HKM78,90,150,75,,,,,,,,,
79,HKM79,90,150,75,,,,,,,,,
80,HKM80,90,150,75,,,,,,,,,
81,HKM81,98,102,110,,,,,,,,,
82,HKM82,120,130,128,,,,,,,,,
83,HKM83,145,161,140,,,,,,,,,
84,HKM84,190,250,200,,,,,,,,,
85,HKM85,398,450,385,,,,,,,,,
86,HKM86,465,550,450,,,,,,,,,
87,HKM87,61.33,62,60,,,,,,,,,
88,HKM88,,450,800,,,,,,,,,
89,HKM89,425,600,395,,,,,,,,,
90,HKM90,143.33,155,120,,,,,,,,,
91,HKM91,49.33,56,42,,,,,,,,,
92,HKM92,49.33,56,42,,,,,,,,,
93,HKM93,185,,185,,,,,,,,,
94,HKM94,56,62,50,,,,,,,,,
95,HKM95,238,190,140,,,,,,,,,
96,HKM96,480,700,190,,,,,,,,,
97,HKM97,298.33,,,,,,,,,,,
98,HKM98,1850,,1850,,,,,,,,,
99,HKM99,1010,,,,,,,,,,,
100,HKM100,363.33,,,,,,,,,,,
101,HKM101,65,70,,,,,,,,,,
102,HKM102,,70,,,,,,,,,,
103,HKM103,425,600,395,,,,,,,,,
104,HKM104,887.67,,,,,,,,,,,
105,HKM105,32.33,42,20,,,,,,,,,
106,HKM106,32.33,42,20,,,,,,,,,
107,HKM107,46,,,,,,,,,,,
108,HKM108,46,,,,,,,,,,,
109,HKM109,52,,,,,,,,,,,
110,HKM110,78,,,,,,,,,,,
111,HKM111,126,,,,,,,,,,,
112,HKM112,126,140,,,,,,,,,,
113,HKM113,126,,,,,,,,,,,
114,HKM114,126,,,,,,,,,,,
115,HKM115,28,32,28,,,,,,,,,
116,HKM116,38,57,46,,,,,,,,,
118,HKM118,28,31,29,,,,,,,,,
121,HKM121,38,,,,,,,,,,,
122,HKM122,45.22,,,,,,,,,,,
123,HKM123,50.33,50,35,,,,,,,,,
125,HKM125,19,,,,,,,,,,,
126,HKM126,14.5,16.5,16,,,,,,,,,
127,HKM127,17,21.5,20,,,,,,,,,
128,HKM128,235,280,185,,,,,,,,,
130,HKM130,165,180,150,,,,,,,,,
131,HKM131,215,230,210,,,,,,,,,
132,HKM132,49,42,49,,,,,,,,,
133,HKM133,49,42,49,,,,,,,,,
134,HKM134,100,110,,,,,,,,,,
135,HKM135,20.67,20,17,,,,,,,,,
136,HKM136,24.09,22.26,24,,,,,,,,,
137,HKM137,596.67,650,520,,,,,,,,,
138,HKM138,165,180,170,,,,,,,,,
139,HKM139,175,180,180,,,,,,,,,
140,HKM140,16,20,12,,,,,,,,,
141,HKM141,31.67,33,30,,,,,,,,,
142,HKM142,86.67,85,80,,,,,,,,,
143,HKM143,350,280,335,,,,,,,,,
144,HKM144,62,56,65,,,,,,,,,
145,HKM145,16.69,11.06,16.7,,,,,,,,,
146,HKM146,27,21,,,,,,,,,,
148,HKM148,340,250,335,,,,,,,,,
149,HKM149,26,31,34,,,,,,,,,
150,HKM150,,,310,,,,,,,,,
151,HKM151,95,196,25,,,,,,,,,
152,HKM152,375,,,,,,,,,,,
153,HKM153,950,,,,,,,,,,,
155,HKM155,650,,660,,,,,,,,,
156,HKM156,58.33,55,65,,,,,,,,,
157,HKM157,98,110,125,,,,,,,,,
158,HKM158,39,45,32,,,,,,,,,
159,HKM159,47.33,32,48,,,,,,,,,
160,HKM160,5,5,6.5,,,,,,,,,
161,HKM161,31,35,27.5,,,,,,,,,
162,HKM162,42.67,35,42,,,,,,,,,
163,HKM163,6,9,7,,,,,,,,,
164,HKM164,1800,1900,320,,,,,,,,,
165,HKM165,90,110,80,,,,,,,,,
166,HKM166,,325,225,,,,,,,,,
167,HKM167,,280,187,,,,,,,,,
168,HKM168,251.67,,,,,,,,,,,
169,HKM169,135,130,,,,,,,,,,
170,HKM170,90,110,113,,,,,,,,,
171,HKM171,63.43,68.29,60,,,,,,,,,
172,HKM172,63.43,68.29,60,,,,,,,,,
173,HKM173,63.43,68.29,60,,,,,,,,,
174,HKM174,122,113.24,125,,,,,,,,,
175,HKM175,122,113.24,125,,,,,,,,,
176,HKM176,122,113.24,125,,,,,,,,,
179,HKM179,196.67,240,120,,,,,,,,,
180,HKM180,201.67,240,120,,,,,,,,,
181,HKM181,109.33,110,105,,,,,,,,,
182,HKM182,109.33,110,105,,,,,,,,,
183,HKM183,265,124.58,122,,,,,,,,,
184,HKM184,265,124.58,122,,,,,,,,,
186,HKM186,45,45.68,43,,,,,,,,,
187,HKM187,34,35,35.59,,,,,,,,,
188,HKM188,70,82,79,,,,,,,,,
189,HKM189,445,550,320,,,,,,,,,
190,HKM190,165,190,177,,,,,,,,,
191,HKM191,1800,2500,2105,,,,,,,,,
192,HKM192,193.33,230,140,,,,,,,,,
193,HKM193,231.67,260,195,,,,,,,,,
194,HKM194,190,225,135,,,,,,,,,
195,HKM195,145,145,145,,,,,,,,,
196,HKM196,55.27,59.8,50,,,,,,,,,
197,HKM197,263.77,306.32,200,,,,,,,,,
198,HKM198,55.27,59.8,50,,,,,,,,,
199,HKM199,263.77,306.32,200,,,,,,,,,
200,HKM200,575,560,610,,,,,,,,,
201,HKM201,,320,,,,,,,,,,
202,HKM202,17.25,32.77,32,,,,,,,,,
203,HKM203,,35.55,36,,,,,,,,,
204,HKM204,28.11,15,12,,,,,,,,,
205,HKM205,24,33,32,,,,,,,,,
206,HKM206,90,140,80,,,,,,,,,
207,HKM207,141.33,225,50,,,,,,,,,
208,HKM208,38,38,40.33,,,,,,,,,
209,HKM209,46,48.17,46,,,,,,,,,
210,HKM210,165,155,165,,,,,,,,,
212,HKM212,750,,,,,,,,,,,
213,HKM213,2650,,,,,,,,,,,
214,HKM214,2650,,,,,,,,,,,
215,HKM215,46.17,64.78,46,,,,,,,,,
216,HKM216,123.43,120.3,115,,,,,,,,,
217,HKM217,545,575,450,,,,,,,,,
218,HKM218,33.39,26.18,32,,,,,,,,,
219,HKM219,60,56,60,,,,,,,,,
220,HKM220,26,25,26,,,,,,,,,
221,HKM221,35,,,,,,,,,,,
222,HKM222,20,23.18,20.5,,,,,,,,,
223,HKM223,8,10,8.5,,,,,,,,,
224,HKM224,45.33,54,35,,,,,,,,,
225,HKM225,27.55,,27.55,,,,,,,,,
226,HKM226,14.83,10.5,15,,,,,,,,,
227,HKM227,25,25,26.5,,,,,,,,,
228,HKM228,148,165,160,,,,,,,,,
229,HKM229,217.5,,,,,,,,,,,
230,HKM230,910.42,,,,,,,,,,,
231,HKM231,156.97,156.97,156.97,,,,,,,,,
232,HKM232,107,113.7,108,,,,,,,,,
233,HKM233,69.33,73.08,69,,,,,,,,,
234,HKM234,13,20.76,13,,,,,,,,,
235,HKM235,30,78.9,34,,,,,,,,,
236,HKM236,43,43.19,41.53,,,,,,,,,
237,HKM237,44.92,46.51,44.92,,,,,,,,,
238,HKM238,40.6,41.52,,,,,,,,,,
239,HKM239,77,78.07,77.96,,,,,,,,,
240,HKM240,77,78.07,77.96,,,,,,,,,
