Group Code As Per Xcube,Group Name as per Xcube,Site Code As Per Xcube,Site Name As Per Xcube,Billing Name As Per Tally,Region,zone,state,Party State,GSTIN/UIN,Costcentre,Address,site_code_no
GROUP80,Centrum Goups,SITE1182,Dimexon Diamonds Dahisar,Dimexon Diamonds  Limited,Mumbai,1,1,Maharashtra,27AAACD1877D1ZU,Dimexon Diamonds Private Limited - New,#N/A,1182
GROUP80,Centrum Goups,SITE1017_1,Centrum Rema LLP,Centrum Rema LLP,Mumbai,1,1,Maharashtra,27AAMFC9045K1ZY,Centrum Retail Services Ltd (House) - New,,1017_1
GROUP80,Centrum Goups,SITE1333,Centrum Retail Service,Centrum Retail Services Limited,Mumbai,1,1,Maharashtra,27AAFCC7305J1ZM,Centrum Retail Services Ltd (House) - New,,1333
GROUP80,Centrum Goups,SITE1017_4,Centrum Wealth Management Ltd,Centrum Wealth management Ltd,Mumbai,1,1,Maharashtra,27AADCC2672E1ZV,Centrum Retail Services Ltd (House) - New,,1017_4
GROUP80,Centrum Goups,SITE1017,Gardenia,Gardenia,Mumbai,1,1,Maharashtra,27AACAG6604M1ZJ,Centrum Retail Services Ltd (House) - New,,1017
GROUP80,Centrum Goups,SITE1043,Centrum Housing Finance Ltd,Centrum Housing Finance Ltd,Mumbai,1,1,Maharashtra,27AAGCC3919D1ZU,Centrum Retail Services Ltd (House) - New,,1043
GROUP84,Dimexon Diamonds,SITE1271,Dimexon Integrated Business Services Private Limited,Dimexon Diamonds  Limited- Dahisar,Mumbai,1,1,Maharashtra,27AAACD1877D1ZU,Dimexon Diamonds Private Limited - New,#N/A,1271
GROUP57,Pepperfry Groups,SITE1204,Pepperfry Pune Koregoan Park ,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Pune Koregaon Park-New,"Pepperfry Koregaon Park Pune,GROUND FLOOR, BEDI HOUSE, NORTH MAIN ROAD,Next To Starbucks,Koregoan Park,Pune-411001.",1204
GROUP57,Pepperfry Groups,SITE1147,Pepperfry Kolkata,"TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED (Kolkata Topsia)
",Mumbai,1,1,Maharashtra,19AADCT9374Q2Z8,Pepperfry Kolkata Topsia-New,"Pepperfry Kolkata Topsia,STUDIO PEPPERFRY TRINITY PLAZA ,84/1A,TOPSIA ROAD , KOLKATA, WEST BENGAL 700046
",1147
GROUP57,Pepperfry Groups,SITE1190,Pepperfry Andheri,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,Mumbai,1,1,Maharashtra,27AADCT9374Q1ZC,Pepperfry Andheri-New,"Pepperfry Andheri West,Shop No. 4, Laxmi Industrial Estae
",1190
